opp_id,opp_name,opp_type,stage,product_flag,crm_region,close_date,start_date,created_date,qualified_date,net_new_acv_usd,opp_owner,account_owner,week_start,days_from_qualified,type,reporting_region,reporting_manager,deal_type,dq_flag,outcome,dq_check
13454,REBILL: Opp - 13454 - Net New,Net New,Closed Won,Core,AMER,2025-04-11,2025-04-10,2025-04-10,2025-03-04,1728,Rep 103,Rep 103,2025-04-06,1,Run-Rate,AMER,Tom Felton,Channel,,Net New,Pass
13468,Opp - 13468 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-10,2025-04-10,2025-04-11,2025-04-11,130,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13477,Opp - 13477 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-04,2025-04-04,2025-04-05,2025-04-05,259,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13479,Opp - 13479 - Net New,Net New,Closed Won,Core,AMER,2025-04-01,2025-04-01,2025-04-01,2025-04-01,351,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Net New,Pass
13482,Opp - 13482 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-08,2025-04-08,2025-04-09,2025-04-09,241,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13484,Opp - 13484 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-09,2025-04-09,2025-04-10,2025-04-10,144,Rep 105,Rep 105,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13485,Opp - 13485 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-07,2025-04-07,2025-04-08,2025-04-08,144,Rep 105,Rep 105,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13486,Opp - 13486 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-07,2025-04-07,2025-04-08,2025-04-08,144,Rep 105,Rep 105,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13487,Opp - 13487 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-11,2025-04-11,2025-04-12,2025-04-12,2621,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13493,Opp - 13493 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-08,2025-04-08,2025-04-09,2025-04-09,415,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13498,Opp - 13498 - Net New,Net New,Closed Won,Core,AMER,2025-04-07,2025-04-07,2025-04-08,2025-04-08,1685,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Net New,Pass
13500,Opp - 13500 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-07,2025-04-07,2025-04-08,2025-04-08,374,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13502,Opp - 13502 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-02,2025-04-02,2025-04-03,2025-04-03,518,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13503,Opp - 13503 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-10,2025-04-10,2025-04-11,2025-04-11,207,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
