calendar_day,region,product,channel_type,daily_acv,forecast_value,target_value,cumulative_acv,pacing_day,pct_qtr_elapsed
2025-04-01,AMER,Core,Channel,10221,NULL,5494.5054945054945055,10221,1,0.01098901098901098901
2025-04-02,AMER,Core,Channel,14424,NULL,5494.5054945054945055,24645,2,0.02197802197802197802
2025-04-03,AMER,Core,Channel,4613,NULL,5494.5054945054945055,29258,3,0.03296703296703296703
2025-04-04,AMER,Core,Channel,1052,NULL,5494.5054945054945055,30310,4,0.04395604395604395604
2025-04-05,AMER,Core,Channel,642,NULL,5494.5054945054945055,30952,5,0.05494505494505494505
2025-04-06,AMER,Core,Channel,733,NULL,5494.5054945054945055,31685,6,0.06593406593406593407
2025-04-07,AMER,Core,Channel,9436,NULL,5494.5054945054945055,41121,7,0.07692307692307692308
2025-04-08,AMER,Core,Channel,2935,NULL,5494.5054945054945055,44056,8,0.08791208791208791209
2025-04-09,AMER,Core,Channel,4035,NULL,5494.5054945054945055,48091,9,0.09890109890109890110
2025-04-10,AMER,Core,Channel,4573,NULL,5494.5054945054945055,52664,10,0.10989010989010989011
2025-04-11,AMER,Core,Channel,6366,NULL,5494.5054945054945055,59030,11,0.12087912087912087912
2025-04-12,AMER,Core,Channel,997,NULL,5494.5054945054945055,60027,12,0.13186813186813186813
2025-04-13,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,13,0.14285714285714285714
2025-04-14,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,14,0.15384615384615384615
2025-04-15,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,15,0.16483516483516483516
2025-04-16,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,16,0.17582417582417582418
2025-04-17,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,17,0.18681318681318681319
2025-04-18,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,18,0.19780219780219780220
2025-04-19,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,19,0.20879120879120879121
2025-04-20,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,20,0.21978021978021978022
2025-04-21,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,21,0.23076923076923076923
2025-04-22,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,22,0.24175824175824175824
2025-04-23,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,23,0.25274725274725274725
2025-04-24,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,24,0.26373626373626373626
2025-04-25,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,25,0.27472527472527472527
2025-04-26,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,26,0.28571428571428571429
2025-04-27,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,27,0.29670329670329670330
2025-04-28,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,28,0.30769230769230769231
2025-04-29,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,29,0.31868131868131868132
2025-04-30,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,30,0.32967032967032967033
2025-05-01,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,31,0.34065934065934065934
2025-05-02,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,32,0.35164835164835164835
2025-05-03,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,33,0.36263736263736263736
2025-05-04,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,34,0.37362637362637362637
2025-05-05,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,35,0.38461538461538461538
2025-05-06,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,36,0.39560439560439560440
2025-05-07,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,37,0.40659340659340659341
2025-05-08,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,38,0.41758241758241758242
2025-05-09,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,39,0.42857142857142857143
2025-05-10,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,40,0.43956043956043956044
2025-05-11,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,41,0.45054945054945054945
2025-05-12,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,42,0.46153846153846153846
2025-05-13,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,43,0.47252747252747252747
2025-05-14,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,44,0.48351648351648351648
2025-05-15,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,45,0.49450549450549450549
2025-05-16,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,46,0.50549450549450549451
2025-05-17,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,47,0.51648351648351648352
2025-05-18,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,48,0.52747252747252747253
2025-05-19,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,49,0.53846153846153846154
2025-05-20,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,50,0.54945054945054945055
2025-05-21,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,51,0.56043956043956043956
2025-05-22,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,52,0.57142857142857142857
2025-05-23,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,53,0.58241758241758241758
2025-05-24,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,54,0.59340659340659340659
2025-05-25,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,55,0.60439560439560439560
2025-05-26,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,56,0.61538461538461538462
2025-05-27,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,57,0.62637362637362637363
2025-05-28,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,58,0.63736263736263736264
2025-05-29,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,59,0.64835164835164835165
2025-05-30,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,60,0.65934065934065934066
2025-05-31,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,61,0.67032967032967032967
2025-06-01,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,62,0.68131868131868131868
2025-06-02,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,63,0.69230769230769230769
2025-06-03,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,64,0.70329670329670329670
2025-06-04,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,65,0.71428571428571428571
2025-06-05,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,66,0.72527472527472527473
2025-06-06,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,67,0.73626373626373626374
2025-06-07,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,68,0.74725274725274725275
2025-06-08,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,69,0.75824175824175824176
2025-06-09,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,70,0.76923076923076923077
2025-06-10,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,71,0.78021978021978021978
2025-06-11,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,72,0.79120879120879120879
2025-06-12,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,73,0.80219780219780219780
2025-06-13,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,74,0.81318681318681318681
2025-06-14,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,75,0.82417582417582417582
2025-06-15,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,76,0.83516483516483516484
2025-06-16,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,77,0.84615384615384615385
2025-06-17,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,78,0.85714285714285714286
2025-06-18,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,79,0.86813186813186813187
2025-06-19,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,80,0.87912087912087912088
2025-06-20,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,81,0.89010989010989010989
2025-06-21,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,82,0.90109890109890109890
2025-06-22,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,83,0.91208791208791208791
2025-06-23,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,84,0.92307692307692307692
2025-06-24,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,85,0.93406593406593406593
2025-06-25,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,86,0.94505494505494505495
2025-06-26,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,87,0.95604395604395604396
2025-06-27,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,88,0.96703296703296703297
2025-06-28,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,89,0.97802197802197802198
2025-06-29,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,90,0.98901098901098901099
2025-06-30,AMER,Core,Channel,0,NULL,5494.5054945054945055,NULL,91,1.00000000000000000000
2025-04-01,AMER,Core,Direct,91836,24494.505494505495,10989.010989010989,91836,1,0.01098901098901098901
2025-04-02,AMER,Core,Direct,32429,24494.505494505495,10989.010989010989,124265,2,0.02197802197802197802
2025-04-03,AMER,Core,Direct,27174,24494.505494505495,10989.010989010989,151439,3,0.03296703296703296703
2025-04-04,AMER,Core,Direct,14235,24494.505494505495,10989.010989010989,165674,4,0.04395604395604395604
2025-04-05,AMER,Core,Direct,1368,24494.505494505495,10989.010989010989,167042,5,0.05494505494505494505
2025-04-06,AMER,Core,Direct,1238,24494.505494505495,10989.010989010989,168280,6,0.06593406593406593407
2025-04-07,AMER,Core,Direct,282439,24494.505494505495,10989.010989010989,450719,7,0.07692307692307692308
2025-04-08,AMER,Core,Direct,39689,24494.505494505495,10989.010989010989,490408,8,0.08791208791208791209
2025-04-09,AMER,Core,Direct,13464,24494.505494505495,10989.010989010989,503872,9,0.09890109890109890110
2025-04-10,AMER,Core,Direct,17114,24494.505494505495,10989.010989010989,520986,10,0.10989010989010989011
2025-04-11,AMER,Core,Direct,6023,24494.505494505495,10989.010989010989,527009,11,0.12087912087912087912
2025-04-12,AMER,Core,Direct,504,24494.505494505495,10989.010989010989,527513,12,0.13186813186813186813
2025-04-13,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,13,0.14285714285714285714
2025-04-14,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,14,0.15384615384615384615
2025-04-15,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,15,0.16483516483516483516
2025-04-16,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,16,0.17582417582417582418
2025-04-17,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,17,0.18681318681318681319
2025-04-18,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,18,0.19780219780219780220
2025-04-19,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,19,0.20879120879120879121
2025-04-20,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,20,0.21978021978021978022
2025-04-21,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,21,0.23076923076923076923
2025-04-22,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,22,0.24175824175824175824
2025-04-23,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,23,0.25274725274725274725
2025-04-24,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,24,0.26373626373626373626
2025-04-25,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,25,0.27472527472527472527
2025-04-26,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,26,0.28571428571428571429
2025-04-27,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,27,0.29670329670329670330
2025-04-28,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,28,0.30769230769230769231
2025-04-29,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,29,0.31868131868131868132
2025-04-30,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,30,0.32967032967032967033
2025-05-01,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,31,0.34065934065934065934
2025-05-02,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,32,0.35164835164835164835
2025-05-03,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,33,0.36263736263736263736
2025-05-04,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,34,0.37362637362637362637
2025-05-05,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,35,0.38461538461538461538
2025-05-06,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,36,0.39560439560439560440
2025-05-07,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,37,0.40659340659340659341
2025-05-08,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,38,0.41758241758241758242
2025-05-09,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,39,0.42857142857142857143
2025-05-10,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,40,0.43956043956043956044
2025-05-11,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,41,0.45054945054945054945
2025-05-12,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,42,0.46153846153846153846
2025-05-13,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,43,0.47252747252747252747
2025-05-14,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,44,0.48351648351648351648
2025-05-15,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,45,0.49450549450549450549
2025-05-16,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,46,0.50549450549450549451
2025-05-17,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,47,0.51648351648351648352
2025-05-18,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,48,0.52747252747252747253
2025-05-19,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,49,0.53846153846153846154
2025-05-20,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,50,0.54945054945054945055
2025-05-21,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,51,0.56043956043956043956
2025-05-22,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,52,0.57142857142857142857
2025-05-23,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,53,0.58241758241758241758
2025-05-24,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,54,0.59340659340659340659
2025-05-25,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,55,0.60439560439560439560
2025-05-26,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,56,0.61538461538461538462
2025-05-27,AMER,Core,Direct,0,24494.505494505495,10989.010989010989,NULL,57,0.62637362637362637363
