Opp ID,Opp Name,Type,Stage,Product Flag,CRM Region,Close Date,Start Date,Created Date,Qualified Date,Net New ACV (USD),Opp Owner,Account Owner,Week Start,Days from Qualified,Type,Reporting Region,Reporting Manager,Deal Type
13454,REBILL: Opp - 13454 - Net New,Net New,Closed Won,Core,AMER,04/11/2025,04/10/2025,04/10/2025,03/04/2025,1728,Rep 103,Rep 103,04/06/2025,1,Run-Rate,AMER,Tom Felton,Channel
13468,Opp - 13468 - Upsell,Upsell,Closed Won,Core,AMER,04/10/2025,04/10/2025,04/11/2025,04/11/2025,130,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13477,Opp - 13477 - Upsell,Upsell,Closed Won,Core,AMER,04/04/2025,04/04/2025,04/05/2025,04/05/2025,259,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13479,Opp - 13479 - Net New,Net New,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/01/2025,04/01/2025,351,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13482,Opp - 13482 - Upsell,Upsell,Closed Won,Core,AMER,04/08/2025,04/08/2025,04/09/2025,04/09/2025,241,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13484,Opp - 13484 - Upsell,Upsell,Closed Won,Core,AMER,04/09/2025,04/09/2025,04/10/2025,04/10/2025,144,Rep 105,Rep 105,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13485,Opp - 13485 - Upsell,Upsell,Closed Won,Core,AMER,04/07/2025,04/07/2025,04/08/2025,04/08/2025,144,Rep 105,Rep 105,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13486,Opp - 13486 - Upsell,Upsell,Closed Won,Core,AMER,04/07/2025,04/07/2025,04/08/2025,04/08/2025,144,Rep 105,Rep 105,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13487,Opp - 13487 - Upsell,Upsell,Closed Won,Core,AMER,04/11/2025,04/11/2025,04/12/2025,04/12/2025,2621,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13493,Opp - 13493 - Upsell,Upsell,Closed Won,Core,AMER,04/08/2025,04/08/2025,04/09/2025,04/09/2025,415,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13498,Opp - 13498 - Net New,Net New,Closed Won,Core,AMER,04/07/2025,04/07/2025,04/08/2025,04/08/2025,1685,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13500,Opp - 13500 - Upsell,Upsell,Closed Won,Core,AMER,04/07/2025,04/07/2025,04/08/2025,04/08/2025,374,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13502,Opp - 13502 - Upsell,Upsell,Closed Won,Core,AMER,04/02/2025,04/02/2025,04/03/2025,04/03/2025,518,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13503,Opp - 13503 - Upsell,Upsell,Closed Won,Core,AMER,04/10/2025,04/10/2025,04/11/2025,04/11/2025,207,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13508,Opp - 13508 - Upsell,Upsell,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/02/2025,04/02/2025,3490,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13509,Opp - 13509 - Upsell,Upsell,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/02/2025,04/02/2025,1117,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13510,Opp - 13510 - Upsell,Upsell,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/02/2025,04/02/2025,977,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13511,Opp - 13511 - Upsell,Upsell,Closed Won,Core,AMER,04/07/2025,04/07/2025,04/08/2025,04/08/2025,140,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13512,Opp - 13512 - Upsell,Upsell,Closed Won,Core,AMER,04/10/2025,04/10/2025,04/11/2025,04/11/2025,140,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13514,Opp - 13514 - Upsell,Upsell,Closed Won,Core,AMER,04/09/2025,04/09/2025,04/10/2025,04/10/2025,156,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13517,Opp - 13517 - Upsell,Upsell,Closed Won,Core,AMER,04/02/2025,04/02/2025,04/03/2025,04/03/2025,130,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13523,Opp - 13523 - Net New,Net New,Closed Won,Core,AMER,04/12/2025,04/12/2025,04/12/2025,04/12/2025,518,Rep 105,Rep 105,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13530,Opp - 13530 - Upsell,Upsell,Closed Won,Core,AMER,04/08/2025,04/08/2025,04/09/2025,04/09/2025,156,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13531,Opp - 13531 - Upsell,Upsell,Closed Won,Core,AMER,04/09/2025,04/09/2025,04/10/2025,04/10/2025,155,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13532,Opp - 13532 - Upsell,Upsell,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/02/2025,04/02/2025,252,Rep 110,Rep 110,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13534,Opp - 13534 - Upsell,Upsell,Closed Won,Core,AMER,04/02/2025,04/02/2025,04/03/2025,04/03/2025,518,Rep 111,Rep 111,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13540,Opp - 13540 - Upsell,Upsell,Closed Won,Core,AMER,04/03/2025,04/03/2025,04/04/2025,04/04/2025,819,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13541,Opp - 13541 - Upsell,Upsell,Closed Won,Core,AMER,04/07/2025,04/07/2025,04/08/2025,04/08/2025,117,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13543,Opp - 13543 - Upsell,Upsell,Closed Won,Core,AMER,04/03/2025,04/03/2025,04/04/2025,04/04/2025,1555,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13549,Opp - 13549 - Upsell,Upsell,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/02/2025,04/02/2025,130,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13555,Opp - 13555 - Net New,Net New,Closed Won,Core,AMER,04/10/2025,04/10/2025,04/10/2025,04/10/2025,351,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13558,Opp - 13558 - Upsell,Upsell,Closed Won,Core,AMER,04/07/2025,04/07/2025,04/08/2025,04/08/2025,144,Rep 1346,Rep 1346,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13566,Opp - 13566 - Upsell,Upsell,Closed Won,Core,AMER,04/09/2025,04/09/2025,04/10/2025,04/10/2025,173,Rep 1346,Rep 1346,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13567,Opp - 13567 - Upsell,Upsell,Closed Won,Core,AMER,04/07/2025,04/07/2025,04/08/2025,04/08/2025,259,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13573,Opp - 13573 - Upsell,Upsell,Closed Won,Core,AMER,04/10/2025,04/10/2025,04/11/2025,04/11/2025,117,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13578,Opp - 13578 - Upsell,Upsell,Closed Won,Core,AMER,04/04/2025,04/04/2025,04/05/2025,04/05/2025,260,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13580,Opp - 13580 - Upsell,Upsell,Closed Won,Core,AMER,04/10/2025,04/10/2025,04/11/2025,04/11/2025,156,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13581,Opp - 13581 - Upsell,Upsell,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/02/2025,04/02/2025,207,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13583,Opp - 13583 - Upsell,Upsell,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/02/2025,04/02/2025,129,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13591,Opp - 13591 - Upsell,Upsell,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/02/2025,04/02/2025,288,Rep 105,Rep 105,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13592,Opp - 13592 - Net New,Net New,Closed Won,Sign,AMER,3/31/2025,04/01/2025,3/28/2025,3/28/2025,10148,Rep 110,Rep 110,3/30/2025,3,Non-Run Rate,AMER,Tom Felton,Channel
13593,Opp - 13593 - Upsell,Upsell,Closed Won,Core,AMER,04/02/2025,04/02/2025,04/03/2025,04/03/2025,10783,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Non-Run Rate,AMER,Tom Felton,Channel
13596,Opp - 13596 - Upsell,Upsell,Closed Won,Core,AMER,04/09/2025,04/09/2025,04/10/2025,04/10/2025,155,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13615,Opp - 13615 - Upsell,Upsell,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/02/2025,04/02/2025,389,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
